DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,AQICategoryNumber,AQICategory,cityRank,cityName,cityCSA,cityState,cityPopulation2018Estimate,cityPopulation2010Census,cityLat,cityLong,cityZip
1/1/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,30,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/1/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,65,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/2/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,24,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/2/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,56,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/3/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,8,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/3/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,53,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/4/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,20,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/4/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,37,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/5/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/5/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/6/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,19,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/6/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,41,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/7/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,29,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
1/7/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,61,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/1/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,25,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/1/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,59,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/2/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/2/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,40,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/3/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/3/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,36,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/4/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,8,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/4/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,78,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/5/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,33,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/5/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,35,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/6/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,26,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/6/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,52,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/7/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,14,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2/7/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,69,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/1/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,29,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/1/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,61,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/2/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,40,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/2/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,59,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/3/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,26,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/3/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,43,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/4/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,16,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/4/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,69,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/5/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,27,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/5/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,47,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/6/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,28,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/6/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,34,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/7/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,35,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
3/7/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,63,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
4/1/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,41,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
4/1/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,24,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
4/2/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,50,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
4/2/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,57,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
4/3/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,25,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
4/3/15,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,54,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
4/4/15,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,36,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
