DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,AQICategoryNumber,AQICategory,csaRank,csaFullName,csaPrimaryCity,csaPrimaryCityState,csaPopulation2018Estimate,csaPopulation2010Census,csaPrimaryCityLat,csaPrimaryCityLong,csaPrimaryCityZip,csaTimeZone,csaStandardTimeUtcOffset,csaDaylightSavingsTimeUtcOffset,csaSearchLat,csaSearchLong,csaSearchRadius
2020-04-01 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,39,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-01 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,27,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-02 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,39,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-02 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,13,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-03 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,29,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-03 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,13,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-04 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,34,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-04 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,19,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-05 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,20,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-05 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,52,2,Moderate,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-06 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,39,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-06 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,35,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-07 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,42,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-07 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,24,1,Good,1,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",New York City,NY,22679948,22255491,40.7128,-74.006,10001,Eastern,-05:00,-04:00,40.8419,-73.8359,25
2020-04-01 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,51,2,Moderate,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-01 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,52,2,Moderate,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-01 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM10,26,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-02 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,49,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-02 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,44,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-02 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM10,24,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-03 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,49,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-03 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,46,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-04 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,50,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-04 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,43,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-05 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,36,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
2020-04-05 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,16,1,Good,2,"Los Angeles-Long Beach, CA Combined Statistical Area",Los Angeles,CA,18764814,17877006,34.0522,-118.2437,90001,Pacific,-08:00,-07:00,33.9288,-118.2108,25
